DOI,Title,Authors,Abstract,Journal,Date
10.1084/jem.20250466,"Type I IFN drives neutrophil swarming, impeding lung T cell-macrophage interactions and TB control.","Branchett WJ, Stavropoulos E, Shields J, Al-Dibouni A, Cardoso M, Fernandes AI, Moreira-Teixeira L, Slawinski H, Mikolajczak A, Rodgers A, Saraiva M, O'Garra A","The early immune mechanisms determining Mycobacterium tuberculosis infection outcome are unclear. Using bulk and scRNA-seq over the first weeks of infection, we describe an unexpected, higher early pulmonary type I IFN response in relatively resistant C57BL/6 as compared with highly TB-susceptible C3HeB/FeJ mice. C57BL/6 mice showed pronounced early monocyte-derived macrophage (MDM) accumulation and extensive CD4+ T cell-MDM interactions in lung lesions, accompanied by high expression of T cell-attractant chemokines by MDMs. Conversely, lesions in C3HeB/FeJ mice were dominated by neutrophils with high expression of pro-inflammatory chemokines, from which CD4+ T cells were spatially segregated. Early type I IFN signaling blockade reduced bacterial load and neutrophil swarming within early TB lesions while increasing CD4+ T cell numbers in both C57BL/6 and C3HeB/FeJ mice, with later more pronounced effects on bacterial load in C3HeB/FeJ mice. These data suggest that early type I IFN signaling during M. tuberculosis infection favors neutrophil accumulation and limits CD4+ T cell infiltration into developing lesions.",The Journal of experimental medicine,01/12/2025
10.1093/eurjpc/zwaf604,Accelerometer-Measured Physical Activity Timing and Risk of Incident Atrial Fibrillation: A UK Biobank Cohort Study.,"Zhang Q, Fu L, Zhao J, Chen K, Tse G, Lip GYH, Liu T","INTRODUCTION: Although moderate-to-vigorous physical activity (MVPA) is linked to a lower risk of atrial fibrillation (AF), the influence of its timing on AF outcomes remains largely understudied. METHODS: Accelerometer-derived MVPA data from UK Biobank participants free of AF at baseline were used to examine associations between distinct MVPA timing patterns (inactive, morning, afternoon, evening, mixed) and incident AF risk, estimated via multivariable-adjusted Cox proportional hazards models. RESULTS: A total of 88,024 participants (57.4% female) were followed for a median of 7.87 years, during which 3,815 developed incident AF. In the fully adjusted Cox model, engaging in MVPA in the morning, afternoon, or at mixed times was associated with lower AF risk, compared with inactivity. The morning activity group showed the greatest risk reduction (HR = 0.79; 95% confidence interval [CI]: 0.70-0.89; p < 0.001). Stratified analyses revealed that adults < 65 years benefited most from morning exercise. For diabetics, morning and afternoon MVPA were protective (HR 0.66, p = 0.001; HR 0.77, p = 0.025). Among non-diabetics, evening activity offered the greatest benefit (HR 0.76, p = 0.029). In non-hypertensive individuals, the timing of activity made little difference. However, among patients with hypertension, engaging in activity at any time of day was associated with a reduced risk of atrial fibrillation, with the greatest benefit observed in the morning (HR = 0.74, p < 0.001). CONCLUSION: Regular MVPA at any time was associated with lower AF risk, with exploratory evidence suggesting greater benefit in the morning, particularly among younger adults and those with comorbidities.",European journal of preventive cardiology,23/09/2025
10.1016/j.amjms.2020.05.044,Is Inhaled Furosemide a Potential Therapeutic for COVID-19?,"Brennecke A, Villar L, Wang Z, Doyle LM, Meek A, Reed M, Barden C, Weaver DF","The potentially lethal infection caused by the novel Severe Acute Respiratory Disease Coronavirus-2 (SARS-CoV-2) has evolved into a global crisis. Following the initial viral infection is the host inflammatory response that frequently results in excessive secretion of inflammatory cytokines (e.g., IL-6 and TNFα), developing into a self-targeting, toxic ""cytokine storm"" causing critical pulmonary tissue damage. The need for a therapeutic that is available immediately is growing daily but the de novo development of a vaccine may take years. Therefore, repurposing of approved drugs offers a promising approach to address this urgent need. Inhaled furosemide, a small molecule capable of inhibiting IL-6 and TNFα, may be an agent capable of treating the Coronavirus Disease 2019 cytokine storm in both resource-rich and developing countries. Furosemide is a ""repurpose-able"" small molecule therapeutics, that is safe, easily synthesized, handled, and stored, and is available in reasonable quantities worldwide.",The American journal of the medical sciences,01/09/2020
10.1038/onc.2014.291,Cancer systems biology: embracing complexity to develop better anticancer therapeutic strategies.,"Du W, Elemento O","The transformation of normal cells into cancer cells and maintenance of the malignant state and phenotypes are associated with genetic and epigenetic deregulations, altered cellular signaling responses and aberrant interactions with the microenvironment. These alterations are constantly evolving as tumor cells face changing selective pressures induced by the cells themselves, the microenvironment and drug treatments. Tumors are also complex ecosystems where different, sometime heterogeneous, subclonal tumor populations and a variety of nontumor cells coexist in a constantly evolving manner. The interactions between molecules and between cells that arise as a result of these alterations and ecosystems are even more complex. The cancer research community is increasingly embracing this complexity and adopting a combination of systems biology methods and integrated analyses to understand and predictively model the activity of cancer cells. Systems biology approaches are helping to understand the mechanisms of tumor progression and design more effective cancer therapies. These approaches work in tandem with rapid technological advancements that enable data acquisition on a broader scale, with finer accuracy, higher dimensionality and higher throughput than ever. Using such data, computational and mathematical models help identify key deregulated functions and processes, establish predictive biomarkers and optimize therapeutic strategies. Moving forward, implementing patient-specific computational and mathematical models of cancer will significantly improve the specificity and efficacy of targeted therapy, and will accelerate the adoption of personalized and precision cancer medicine.",Oncogene,01/06/2015
10.3389/fped.2022.828089,Association of Prenatal Acetaminophen Exposure Measured in Meconium With Adverse Birth Outcomes in a Canadian Birth Cohort.,"Baker BH, Burris HH, Bloomquist TR, Boivin A, Gillet V, Larouche A, Takser L, Bellenger JP, Pasquier JC, Baccarelli AA","BACKGROUND: The small number of studies examining the association of prenatal acetaminophen with birth outcomes have all relied on maternal self-report. It remains unknown whether prenatal acetaminophen exposure measured in a biological specimen is associated with birth outcomes. OBJECTIVES: To investigate the association of acetaminophen measured in meconium with birthweight, gestational age, preterm birth, size for gestational age, gestational diabetes, preeclampsia, and high blood pressure. METHODS: This birth cohort from Sherbrooke, QC, Canada, included 773 live births. Mothers with no thyroid disease enrolled at their first prenatal care visit or delivery. Acetaminophen was measured in meconium for 393 children at delivery. We tested associations of prenatal acetaminophen with birthweight, preterm birth, gestational age, small and large for gestational age, gestational diabetes, preeclampsia, and high blood pressure. We imputed missing data via multiple imputation and used inverse probability weighting to account for confounding and selection bias. RESULTS: Acetaminophen was detected in 222 meconium samples (56.5%). Prenatal acetaminophen exposure was associated with decreased birthweight by 136 g (β = -136; 95% CI [-229, -43]), 20% increased weekly hazard of delivery (hazard ratio = 1.20; 95% CI [1.00, 1.43]), and over 60% decreased odds of being born large for gestational age (odds ratio = 0.38; 95% CI [0.20, 0.75]). Prenatal acetaminophen was not associated with small for gestational age, preterm birth, or any pregnancy complications. CONCLUSION: Prenatal acetaminophen was associated with adverse birth outcomes. Although unobserved confounding and confounding by indication are possible, these results warrant further investigation into adverse perinatal effects of prenatal acetaminophen exposure.",Frontiers in pediatrics,01/01/2022
10.1016/j.cmet.2025.08.012,Liver-breast communication of adipocyte-oriented exosomes drives primary mammary cancer progression.,"Li C, Lu Y, Li Y, Liu T, Deng H, Gao M, Zhou B, Liu J, Cai J, Huang D, Yang L, Jin J, Kuang D, Su S","The incidence of certain types of extrahepatic cancers significantly increases in nonalcoholic fatty liver disease (NAFLD), the mechanisms of which are elusive. Here, we demonstrate that NAFLD is correlated with a higher risk of breast cancer in individuals with atypical hyperplasia and poor prognosis in patients with breast cancer. In mice, fatty liver exosomes are preferentially accumulated in adipocytes, and their enrichment in mammary adipocytes fosters a pro-tumor breast microenvironment. Adipocyte tropism is dictated by the binding of exosomal ErbB4 to neuregulin 4 (Nrg4). tRNA methyltransferase 10 homolog C (TRMT10C) in fatty liver exosomes translocates to mitochondria and inhibits Nd5 and Nd6 mRNA translation by inducing N(1)-methyladenosine modifications in adipocytes. ND5 and ND6 reduction increases reactive oxygen species and consequently enhances free fatty acid release, which fuels tumor progression. Plasma ErbB4(+) exosomes are an independent prognostic factor for patients with breast cancer and comorbid NAFLD. Collectively, we reveal a liver-breast metabolic remote interaction that drives cancer development.",Cell metabolism,24/09/2025
10.1038/s41586-025-09555-1,Protecting double Holliday junctions ensures crossing over during meiosis.,"Tang S, Hariri S, Bohn R, McCarthy JE, Koo J, Pourhosseinzadeh M, Nguyen E, Liu N, Ma C, Lu H, Lee M, Hunter N","Chromosomal linkages formed through crossover recombination are essential for the accurate segregation of homologous chromosomes during meiosis(1). The DNA events of recombination are linked to structural components of meiotic chromosomes(2). Imperatively, the biased resolution of double Holliday junction (dHJ) intermediates into crossovers(3,4) occurs within the synaptonemal complex (SC), the meiosis-specific structure that mediates end-to-end synapsis of homologues during the pachytene stage(5,6). However, the role of the SC in crossover-specific dHJ resolution remains unclear. Here we show that key SC components function through dependent and interdependent relationships to protect dHJs from aberrant dissolution into non-crossover products. Conditional ablation experiments reveal that cohesin, the core of SC lateral elements, is required to maintain both synapsis and dHJ-associated crossover recombination complexes (CRCs) during pachytene. The SC central region transverse-filament protein is also required to maintain CRCs. Reciprocally, the stability of the SC central region requires the continuous presence of CRCs effectively coupling synapsis to dHJ formation and desynapsis to resolution. However, dHJ protection and CRC maintenance can occur without end-to-end homologue synapsis mediated by the central element of the SC central region. We conclude that local ensembles of SC components are sufficient to enable crossover-specific dHJ resolution to ensure the linkage and segregation of homologous chromosomes.",Nature,24/09/2025
10.1136/jitc-2024-010792,T-cell responses against CD19-targeted CAR T cells varnimcabtagene autoleucel (ARI-0001): implications for immune response and therapy outcomes.,"Bartoló-Ibars A, Aran A, Johansson AM, Ortiz-Maldonado V, Klein-González N, Alonso-Saladrigues A, James E, Urbano-Ispizua A, Rives S, Delgado J, González-Navarro EA, Kwok WW, Juan M","Patients with B-cell malignancies receiving CD19-targeted chimeric antigen receptor (CAR) T-cell therapy may experience treatment failure due to various mechanisms. One significant factor is the host's immune response against the CAR-T product, mainly triggered by the immunogenicity of non-human sequences present in the CAR construct. In the CART19-BE-01 clinical trial (NCT03144583, ClinicalTrials.gov), patients with relapsed/refractory B-cell malignancies received treatment with varnimcabtagene autoleucel (ARI-0001 cells), a CD19-targeted autologous CAR-T product. During follow-up, both humoral and cellular immune responses were assessed against the extracellular domain of ARI-0001 cells, which was derived from the murine monoclonal antibody A3B1. Here, we report the case of a patient with B-cell acute lymphoblastic leukemia who required two infusions of ARI-0001 cells. Between the first and second CAR-T19 infusions, human antimurine antibodies were detected, which in vitro diminished the cytotoxicity of ARI-0001 cells against the CD19-positive NALM6 cell line. Furthermore, CD4(+) specific T cells against the CAR19 construct were isolated from the patient's peripheral blood mononuclear cells, showing recognition of the murine single-chain variable fragment peptides presented by human leukocyte antigen class II. This case underscores the need to monitor immune responses in patients before considering subsequent CAR-T infusions to preserve treatment efficacy.Trial registration number NCT03144583.",Journal for immunotherapy of cancer,22/09/2025
10.1073/pnas.2512274122,Antagonistic SnRK2 and PID kinases' action on auxin transport-mediated root gravitropism.,"Sheng F, Gao Y, Wang Y, Li Y, Zhang JA, Zhang Z, Qin X, Zhang S, Song W, Li J, Guo Y, Friml J, Gong Z, Zhang Q, Zhang J","Plants have evolved sophisticated mechanisms to adapt to environmental changes, with root gravitropism playing a pivotal role in nutrient and water acquisition. Our study reveals that SnRK2 kinases (SnRK2.2 and SnRK2.3) are critical regulators of root gravitropism through their direct phosphorylation of the auxin transporter PIN2 at S259. We demonstrate that SnRK2s-mediated phosphorylation modulates both the polar localization and transport activity of PIN2. Importantly, SnRK2s function antagonistically to the AGCVIII kinase PID, which phosphorylates PIN2 at a distinct site (S258), establishing a regulatory balance essential for adaptive root growth. Structural modeling and phosphorylation assays further suggest that SnRK2s-mediated phosphorylation at S259 sterically hinders access of PID to S258, providing a mechanistic basis for their antagonistic relationship. These findings uncover a novel regulatory mechanism, by which plants fine-tune root developmental programs to adapt to environmental stimuli, highlighting the evolutionary significance of multilayered kinase-mediated regulation in plant adaptation.",Proceedings of the National Academy of Sciences of the United States of America,30/09/2025
10.1016/j.kint.2025.04.003,Executive summary of the KDIGO 2025 Clinical Practice Guideline for the Management of Immunoglobulin A Nephropathy (IgAN) and Immunoglobulin A Vasculitis (IgAV).,"Floege J, Barratt J, Cook HT, Noronha IL, Reich HN, Suzuki Y, Tang SCW, Trimarchi H, Balk EM, Gordon CE, Adam GP, Tonelli MA, Earley A, Rovin BH","The Immunoglobulin A nephropathy (IgAN) and Immunoglobulin A vasculitis (IgAV) management guideline was last updated and published as part of the Kidney Disease: Improving Global Outcomes (KDIGO) 2021 Clinical Practice Guideline for the Management of Glomerular Diseases. Based on new developments in IgAN assessment and therapy, a major update of the guideline was necessary in 2024. Compared with the last version, the KDIGO 2025 IgAN guideline now encourages a more liberal kidney biopsy policy and suggests aiming for stricter proteinuria control, with a goal of <0.5 g/d, ideally <0.3 g/d, and a stable estimated glomerular filtration rate. A major new concept in the 2025 guideline is to initiate treatment with (i) therapies that prevent or reduce pathogenic IgA production and IgA/IgA and IgA/IgG immune complex formation along with (ii) therapies to manage the consequences of existing IgAN-induced nephron loss. Approaches to achieve the first aim are currently limited to targeted-release budesonide (Nefecon) or reduced-dose systemic corticosteroid therapy and, in Chinese patients, mycophenolate mofetil. Approaches to the more generic second aim include healthy lifestyle education, renin-angiotensin system blockers, sodium-glucose cotransporter-2 inhibitors, and/or dual endothelin angiotensin receptor blockers. Little has changed for special situations of IgA-dominant immune complex glomerular diseases such as nephrotic syndrome, acute kidney injury, rapidly progressive glomerulonephritis, and pregnancy in IgAN, or children with IgAN or IgAV, given the lack of major clinical trials in these patient populations. Here, we provide an executive summary of the most important changes in the KDIGO 2025 IgAN and IgAV guideline as a quick reference.",Kidney international,01/10/2025
10.1001/jamainternmed.2025.4610,Cognitive Behavioral Therapy for Insomnia in People With Chronic Disease: A Systematic Review and Meta-Analysis.,"Scott AJ, Correa AB, Bisby MA, Chandra SS, Rahimi M, Christina S, Heriseanu AI, Dear BF","IMPORTANCE: Insomnia is highly prevalent among individuals with chronic disease (eg, chronic pain, cardiovascular disease, and cancer) and results in poorer disease outcomes and quality of life. Cognitive behavioral therapy for insomnia (CBT-I) is recommended as first-line treatment for insomnia. However, concerns remain about its applicability and efficacy in people with chronic disease. OBJECTIVE: To evaluate the nature, efficacy, and acceptability of CBT-I in adults with chronic disease, and to identify moderators of treatment outcomes. DATA SOURCES: Systematic searches were conducted in PsycINFO, Medline, Embase, and CENTRAL from database inception to June 5, 2025. Additional records were identified from reference lists of relevant reviews and studies. STUDY SELECTION: Eligible studies were randomized clinical trials (RCTs) involving adults (aged ≥18 years) with chronic disease and insomnia. Studies using CBT-I with measured sleep outcomes were included. DATA EXTRACTION AND SYNTHESIS: Two assessors extracted data from RCTs. Hedges g was used to calculate effect sizes, and random effects meta-analyses were conducted. Heterogeneity was assessed via I2. Subgroup analyses examined whether outcomes varied by delivery format, chronic condition type, or control group. MAIN OUTCOMES AND MEASURES: Primary outcomes included insomnia severity, sleep efficiency, and sleep onset latency. Secondary outcomes included treatment acceptability and adverse effects. RESULTS: Sixty-seven RCTs (5232 participants) met inclusion criteria, including chronic diseases such as cancer, chronic pain, irritable bowel syndrome, and stroke. CBT-I was associated with significantly improved outcomes for insomnia severity (g = 0.98; 95% CI, 0.81-1.16) and moderate effect sizes regarding sleep efficiency (g = 0.77; 95% CI, 0.63-0.91) and sleep onset latency (g = 0.64; 95% CI, 0.50-0.78). Subgroup analyses revealed some sample, treatment, and methodological moderators (eg, longer treatment yielded better outcomes for sleep efficiency and sleep onset latency). Satisfaction with CBT-I was high, with a mean dropout rate of 13.3%. Treatment-related adverse effects were rare. CONCLUSIONS AND RELEVANCE: This systematic review and meta-analysis showed that CBT-I demonstrated strong efficacy and acceptability in chronic disease populations, with moderate to large effect sizes that appear comparable to those in non-chronic disease populations. Efficacy of CBT-I was similar across a range of disease subgroups. Future research should explore the role and nature of treatment adaptations for specific populations and increase access to CBT-I in medical settings.",JAMA internal medicine,22/09/2025
10.1186/s13040-025-00484-3,Investigating causal effects of HDL-C on cognitive function through cross-sectional and Mendelian randomization analyses: concentration-response patterns and clues for Alzheimer's disease prevention.,"Fan L, Jiang H, Zhang Z","BACKGROUND: Disrupted cholesterol homeostasis may accelerate cognitive aging. This study investigated the relationship between serum HDL-C levels and cognitive function, utilizing cross-sectional data and Mendelian randomization (MR) analysis. METHODS: A cross-sectional study was conducted using data from the National Health and Nutrition Examination Survey (NHANES) 2011-2014, including 19,931 participants. Among them, 2,777 individuals aged 60 years and older with complete HDL-C levels and cognitive function data were included. Cognitive function was assessed using tests such as the Consortium to Establish a Registry for Alzheimer's Disease Immediate and Delayed Recall, the Animal Fluency Test, and the Digit Symbol Substitution Test. Additionally, MR analysis was employed to assess the causal relationship between genetically predicted HDL-C and dementia. RESULTS: Gender-stratified analyses revealed sex-specific patterns in the relationship between HDL-C and cognitive function. In fully adjusted linear models, men showed consistently positive associations across all cognitive domains, including delayed recall (β = 0.10, 95% CI 0.04-0.17, p < 0.001), immediate recall (β = 0.06, 95% CI 0.00-0.12, p = 0.047), verbal fluency (β = 0.20, 95% CI 0.14-0.26, p < 0.001), processing speed (β = 0.09, 95% CI 0.05-0.14, p < 0.001), and overall composite score (β = 0.45, 95% CI 0.29-0.62, p < 0.001). In women, these associations were attenuated or non-significant for immediate recall, delayed recall, and composite cognition, suggesting non-linearity. Further concentration-response analyses revealed a linear positive association in men and an inverted U-shaped relationship in women. MR analyses indicated a protective association between genetically predicted HDL-C and Alzheimer's disease risk (OR = 0.51, 95% CI 0.29-0.89, p = 0.019). However, sensitivity analyses revealed attenuation after MR-PRESSO outlier correction (β=-0.013, p = 0.756), and inconsistent estimates across methods, with significant heterogeneity (Q-test p < 0.001) and evidence of pleiotropy. In multivariable analysis, adjusting for LDL-C and TG, IVW (β = 0.290, p = 0.048) and Lasso regression (β = 0.752, p = 0.008) indicated weak positive correlations. However, MR-Egger (β = 0.752, p = 0.008) revealed potential pleiotropic interference (intercept p = 0.050). CONCLUSIONS: Our findings suggest that maintaining optimal serum HDL-C levels may help preserve cognitive function in older adults. Notably, sex-specific associations were observed, warranting further investigation into underlying mechanisms.",BioData mining,22/09/2025
10.1038/s41380-025-03264-x,Leveraging transdiagnostic genetic liability to psychiatric disorders to dissect clinical outcomes of anorexia nervosa.,"Lu ZA, Ploner A, Birgegård A, Landén M, Bulik CM, Bergen SE","Anorexia nervosa (AN) has extensive genetic correlations with other psychiatric disorders, and genetic risk for different psychiatric disorders was associated with distinct clinical courses in AN. Uncovering associations between transdiagnostic psychiatric genetic liability and AN outcomes can facilitate its personalized treatment. In this study, we investigated the associations between transdiagnostic psychiatric genetic liability and outcomes of AN. Genomic structural equation models were fitted to genome-wide association data for AN and psychiatric disorders with high genetic correlations with AN (obsessive-compulsive symptoms [OCS], major depressive disorder [MDD], schizophrenia, and anxiety disorders) to extract one shared and five trait-specific genetic components. Next, we calculated the polygenic risk scores (PRS) for these components, including PRS(shared), PRS(AN-specific), PRS(OCS-specific), PRS(MDD-specific), PRS(SCZ-specific) and PRS(ANX-specific), which index the shared genetic liability to all five psychiatric traits, and genetic liability specific to AN, OCS, MDD, SCZ and ANX, respectively. We then tested associations between these PRSs and clinical outcomes reported between 1997 and 2018 among AN cases from the Anorexia Nervosa Genetics Initiative (ANGI), linked to Swedish National Registers. The clinical outcomes included cumulative disease burden (i.e., number of diagnoses, medication prescriptions, and inpatient days), risks of psychiatric comorbidities, and AN symptomatology. Among 4028 included AN cases, the mean (SD) birth year was 1985 (9), and 3947 (98.0%) were female. Within AN, +1 SD increase of PRS(shared) was associated with 9-39% excess risk of disease burden and psychiatric comorbidity, whereas the associations between PRS(AN-specific) and most clinical outcomes were statistically non-significant. +1 SD increase of PRS(MDD-specific) was associated with 3-29% increased risk of AN disease burden. Our findings show that shared psychiatric liability is associated with more adverse AN outcomes, whereas AN-specific liability is not a good indicator for its clinical course. This study provides a novel perspective on factors influencing heterogeneity in AN clinical course.",Molecular psychiatry,23/09/2025
10.1093/ije/dyw115,Acetaminophen use in pregnancy and neurodevelopment: attention function and autism spectrum symptoms.,"Avella-Garcia CB, Julvez J, Fortuny J, Rebordosa C, García-Esteban R, Galán IR, Tardón A, Rodríguez-Bernal CL, Iñiguez C, Andiarena A, Santa-Marina L, Sunyer J","BACKGROUND: Acetaminophen is extensively used during pregnancy. But there is a lack of population-representative cohort studies evaluating its effects on a range of neuropsychological and behavioural endpoints. We aimed to assess whether prenatal exposure to acetaminophen is adversely associated with neurodevelopmental outcomes at 1 and 5 years of age. METHODS: This Spanish birth cohort study included 2644 mother-child pairs recruited during pregnancy. The proportion of liveborn participants evaluated at 1 and 5 years was 88.8% and 79.9%, respectively. Use of acetaminophen was evaluated prospectively in two structured interviews. Ever/never use and frequency of use (never, sporadic, persistent) were measured. Main neurodevelopment outcomes were assessed using Childhood Autism Spectrum Test (CAST), Conner's Kiddie Continuous Performance Test (K-CPT) and ADHD-DSM-IV form list. Regression models were adjusted for social determinants and co-morbidities. RESULTS: Over 40% of mothers reported using acetaminophen. Ever-exposed offspring had higher risks of presenting more hyperactivity/impulsivity symptoms [incidence rate ratio (IRR) = 1.41, 95% confidence interval (CI) 1.01-1.98), K-CPT commission errors (IRR = 1.10, 1.03-1.17), and lower detectability scores (coefficient β = -0.75, -0.13--0.02). CAST scores were increased in ever-exposed males (β = 0.63, 0.09-1.18). Increased effect sizes of risks by frequency of use were observed for hyperactivity/impulsivity symptoms (IRR = 2.01, 0.95-4.24) in all children, K-CPT commission errors (IRR = 1.32, 1.05-1.66) and detectability (β = -0.18, -0.36-0.00) in females, and CAST scores in males (β = 1.91, 0.44-3.38). CONCLUSIONS: Prenatal acetaminophen exposure was associated with a greater number of autism spectrum symptoms in males and showed adverse effects on attention-related outcomes for both genders. These associations seem to be dependent on the frequency of exposure.",International journal of epidemiology,01/12/2016
10.34133/research.0895,NUFIP1-Mediated Ribophagy Alleviates PANoptosis of CD4(+) T Lymphocytes in Sepsis via the cGAS-STING Pathway.,"Zhao P, Li J, He P, Wu Y, Zheng L, Yang X, Yang J, Fu Z, Xia Y, Chen N, Dong N, Luo Z, Yao R, Du X, Yao Y","T lymphocyte dysfunction represents a pivotal determinant of immunosuppression in sepsis. Our previous studies demonstrated that nuclear fragile X mental retardation-interacting protein 1 (NUFIP1)-mediated ribophagy conferred cytoprotection against apoptosis in CD4(+) T lymphocytes during sepsis, thereby preserving host immunocompetence. Despite growing evidence linking PANoptosis to the pathogenesis of various diseases, the potential role of ribophagy in modulating CD4(+) T lymphocytes' PANoptosis in sepsis remains largely unclear. In the present study, we employed both lipopolysaccharide-stimulated Jurkat T cells and cecal ligation and puncture (CLP)-induced sepsis models to demonstrate marked exacerbation of CD4(+) T lymphocyte PANoptosis following NUFIP1 knockdown (KD), associated with impaired immune function, as evidenced by diminished cytokine production and T cell proliferation. Tandem mass tagging (TMT) proteomic analysis identified Z-nucleic acid binding protein 1 (ZBP1)-mediated PANoptosome formation and the cyclic GMP-AMP synthase-stimulator of interferon genes (cGAS-STING) pathway as critical nodes in ribophagy-dependent cytoprotection. Mechanistically, sepsis-induced ribosome collision activated the cGAS-STING signaling axis, which in turn recruited NUFIP1 to STING protein complexes. Clinical analysis of septic patients revealed enhanced ribophagy and PANoptosis in peripheral blood CD4(+) T cells, consistent with the experimental findings. These results suggest that NUFIP1-mediated ribophagy alleviates CD4(+) T lymphocyte PANoptosis in sepsis via the cGAS-STING pathway, highlighting the therapeutic potential of targeting ribophagy and PANoptosis pathways to mitigate immune paralysis and improve the outcomes following septic insults.","Research (Washington, D.C.)",01/01/2025
10.1038/s44161-025-00712-3,Cardiac adaptation to endurance exercise training requires suppression of GDF15 via PGC-1α.,"Khetarpal SA, Li H, Vitale T, Rhee J, Challa S, Castro C, Pabel S, Sun Y, Liu J, Bogoslavski D, Vargas-Castillo A, Smythers AL, Blackmore KA, Grauvogel L, Mittenbühler MJ, Khandekar MJ, Curtin C, Narvaez-Paliza JM, Wang C, Houstis NE, Sprenger HG, Jurgens SJ, Biddinger KJ, Kuznetsov A, Freeman R, Ellinor PT, Nahrendorf M, Paulo JA, Gygi SP, Dumesic PA, Asnani A, Aragam KG, Puigserver P, Roh JD, Spiegelman BM, Rosenzweig A","Endurance exercise promotes adaptive growth and improved function of myocytes, which is supported by increased mitochondrial activity. In skeletal muscle, these benefits are in part transcriptionally coordinated by peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1α). The importance of PGC-1α to exercise-induced adaptations in the heart has been unclear. Here we show that deleting PGC-1α specifically in cardiomyocytes prevents the expected benefits from exercise training and instead leads to heart failure after just 6 weeks of training. Consistent with this, in humans, rare genetic variants in PPARGC1A, which encodes PGC-1α, are associated with increased risk of heart failure. In this model, we identify growth differentiation factor 15 (GDF15) as a key heart-secreted mediator that contributes to this dysfunction. Blocking cardiac Gdf15 expression improves cardiac performance and exercise capacity in these mice. Finally, in human heart tissue, lower cardiomyocyte PPARGC1A expression is associated with higher GDF15 expression and reduced cardiomyocyte density. These findings uncover a crucial role for cardiomyocyte PGC-1α in enabling healthy cardiac adaptation to exercise in part through suppression of GDF15.",Nature cardiovascular research,24/09/2025
10.1111/dom.70151,Effectiveness of oral semaglutide versus empagliflozin for the management of type 2 diabetes. PIONEER-2 trial emulation with real-world data.,"Fadini GP, Longato E, Poletto S, Giaccari A, Ghiani M, Strazzabosco M, Trombetta M, Penno G, Avogaro A, Solini A, Consoli A","BACKGROUND AND AIMS: Oral semaglutide and empagliflozin are commonly used for the management of type 2 diabetes (T2D), but head-to-head comparisons in real-world settings are limited. We aimed to emulate the PIONEER-2 trial using electronic health records to compare the effectiveness and persistence of oral semaglutide versus empagliflozin. METHODS: This was a retrospective multicentre study using electronic health records from Italian diabetes clinics. New users of oral semaglutide or empagliflozin were matched 1:2 and followed for up to 18 months. The primary outcome was HbA1c change; secondary outcomes included weight change and treatment persistence. Analyses used mixed models for repeated measures under both treatment policy and trial product estimands. RESULTS: After matching, we included new users of oral semaglutide (n = 105) or empagliflozin (n = 207). Mean age was 65 years, diabetes duration 10 years, baseline HbA1c 7.6%, BMI 29 kg/m(2), and 94% were on metformin. Only 28.6% of new users of oral semaglutide reached the 14 mg dose and 31.4% of empagliflozin new users reached the 25 mg dose. HbA1c reduction was significantly greater with oral semaglutide than with empagliflozin (mean difference - 0.35%, p <0.001). Weight loss over time was similar, with oral semaglutide showing a modest advantage at 18 months among persistent patients. Persistence was lower for semaglutide (HR for discontinuation 1.47, p = 0.007). CONCLUSIONS: Under routine care, new users of oral semaglutide achieved better glycaemic control compared with empagliflozin new users, with similar weight loss but lower treatment persistence. These findings support the results of PIONEER-2 and its transferability to clinical practice.","Diabetes, obesity & metabolism",24/09/2025
10.1038/s41588-025-02319-7,A standardized framework for circulating blood proteomics.,"Cai X, Geyer PE, Perez-Riverol Y, Omenn GS, Dong L, Winkler R, Ahadi S, Lössl P, Yu X, Chang C, Ralser M, Jimenez CR, Zhao Y, Chen YJ, Poon TCW, Bache N, Shi L, Dai X, Wang Z, Zhu Y, Fang X, Schwenk JM, Van Eyk JE, Völker U, Guo T","The circulating blood proteome holds immense potential for biomarker discovery and understanding disease mechanisms. Notable advances in mass spectrometry and affinity-based technologies have been made, but data integration across studies and platforms is hindered by the absence of unified analytical standards. This limitation impedes comprehensive exploration of human biology across diverse phenotypes and cohorts as well as the translation of findings into clinical applications. The disparities between datasets, stemming from a combination of factors related to differences in sample collection, pre-analytical handling, measurement methods and instrumentation, further complicate data integration. In this Perspective, we outline key challenges in blood-based proteomics and propose actionable strategies. Central to our recommendations are high-quality, technology-agnostic reference samples, which can bridge disparate datasets and enable robust cross-study comparisons. By fostering interconnected investigations across proteomic technologies, blood sample collections, clinical phenotypes and different populations, these references will accelerate the field and its translation.",Nature genetics,23/09/2025
